source_index,true_label,video_score,camera_id,zone_id,timestamp,video_uncertainty
149315,1,1.0,5,5,2024-05-11 10:49:00,0.0
66176,1,1.0,7,5,2024-05-16 07:28:00,0.0
18650,1,1.0,3,2,2024-03-04 22:57:00,0.0
199593,1,1.0,4,2,2024-04-24 20:58:00,0.0
60358,1,1.0,1,1,2024-02-04 21:40:00,0.0
7323,1,1.0,3,5,2024-02-27 20:22:00,0.0
129460,0,0.0,1,2,2024-04-03 13:15:00,0.0
13952,1,1.0,1,5,2024-01-31 15:28:00,0.0
25705,1,1.0,10,1,2024-04-06 21:03:00,0.0
78857,1,1.0,2,1,2024-04-07 00:56:00,0.0
49685,1,1.0,2,5,2024-03-04 20:56:00,0.0
137504,1,1.0,5,3,2024-01-24 09:53:00,0.0
115974,0,0.0,5,5,2024-05-08 13:25:00,0.0
141977,1,1.0,10,3,2024-03-16 15:33:00,0.0
4403,1,1.0,9,1,2024-05-25 11:15:00,0.0
32809,1,1.0,3,4,2024-04-01 06:57:00,0.0
60209,1,1.0,7,5,2024-03-07 22:18:00,0.0
131560,1,1.0,10,1,2024-02-15 16:13:00,0.0
37267,1,1.0,7,3,2024-05-19 06:11:00,0.0
148093,1,1.0,2,5,2024-02-07 20:47:00,0.0
135305,1,1.0,8,3,2024-01-26 06:52:00,0.0
196175,1,1.0,8,2,2024-05-14 09:29:00,0.0
81136,0,0.0,1,4,2024-04-25 10:37:00,0.0
14651,1,1.0,1,2,2024-02-16 23:52:00,0.0
144193,1,1.0,8,4,2024-05-24 04:48:00,0.0
149153,1,1.0,8,1,2024-01-01 12:29:00,0.0
54076,1,1.0,2,5,2024-01-31 16:43:00,0.0
121091,1,1.0,1,2,2024-02-04 00:04:00,0.0
201707,1,1.0,3,3,2024-03-23 20:09:00,0.0
174421,1,1.0,3,2,2024-01-23 11:10:00,0.0
52053,1,1.0,4,3,2024-01-12 15:50:00,0.0
159251,1,1.0,3,1,2024-03-19 15:44:00,0.0
171562,1,1.0,9,4,2024-05-13 19:07:00,0.0
89885,1,1.0,4,1,2024-04-13 10:50:00,0.0
88708,0,0.0,5,1,2024-03-14 14:45:00,0.0
54632,1,1.0,10,5,2024-05-15 13:47:00,0.0
120959,0,0.0,6,3,2024-05-05 14:34:00,0.0
201243,1,1.0,8,1,2024-01-27 05:52:00,0.0
153276,1,1.0,7,1,2024-05-19 11:53:00,0.0
82724,1,1.0,3,3,2024-05-22 02:03:00,0.0
114989,0,0.0,2,5,2024-05-19 13:54:00,0.0
68429,1,1.0,7,1,2024-05-18 17:10:00,0.0
126035,0,0.0,3,1,2024-05-11 01:31:00,0.0
168195,1,1.0,3,4,2024-01-28 10:49:00,0.0
597,1,1.0,9,4,2024-03-19 19:00:00,0.0
30275,1,1.0,6,4,2024-02-03 19:21:00,0.0
41268,1,1.0,4,3,2024-05-03 15:08:00,0.0
119850,0,0.0,8,4,2024-02-08 15:56:00,0.0
142091,1,1.0,2,5,2024-01-02 04:15:00,0.0
146685,1,1.0,8,5,2024-01-05 02:16:00,0.0
57105,1,1.0,8,2,2024-01-10 01:29:00,0.0
151754,1,1.0,9,1,2024-02-02 18:12:00,0.0
115775,0,0.01,4,5,2024-01-01 11:31:00,0.020000000000000018
130620,1,1.0,6,2,2024-04-21 09:00:00,0.0
98150,0,0.01,9,2,2024-01-01 00:58:00,0.020000000000000018
146313,1,1.0,7,2,2024-01-13 06:46:00,0.0
139496,1,1.0,8,5,2024-04-17 07:26:00,0.0
156122,1,1.0,10,1,2024-03-15 19:38:00,0.0
40186,1,1.0,1,2,2024-01-09 17:05:00,0.0
186337,1,1.0,7,2,2024-02-23 16:23:00,0.0
186980,1,1.0,7,2,2024-03-04 18:56:00,0.0
7137,1,1.0,4,4,2024-04-01 03:10:00,0.0
162960,1,1.0,6,5,2024-01-17 13:54:00,0.0
133937,1,1.0,9,1,2024-05-23 04:45:00,0.0
114056,1,1.0,6,3,2024-01-01 00:41:00,0.0
4979,1,1.0,7,4,2024-03-18 19:45:00,0.0
